"Employee #","Last Name","First Name","Birthday","Address","Phone Number","SSS #","Philhealth #","TIN #","Pag-ibig #","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate","Level","Password"
"1001","Garcia","Manuel III","10/11/1983","Valero Carpark Building Valero Street 1227, Makati City","966-860-270","44-4506057-3","820-126853-951","442-605-657-000","691-295330-870","Regular","Chief Executive Officer","N/A","90,000","1,500","2,000","1,000","45,000","535.71","Admin","Garcia"
"1002","Lim","Antonio","06/19/1988","San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite","171-867-411","52-2061274-9","331-735646-338","683-102-776-000","663-904995-411","Regular","Chief Operating Officer","Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000","357.14","Admin","Lim"
"1003","Aquino","Bianca Sofia","08/04/1989","Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City","966-889-370","30-8870406-2","177-451189-665","971-711-280-000","171-519773-969","Regular","Chief Finance Officer","Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000","357.14","Admin","Aquino"
"1004","Reyes","Isabella","06/16/1994","460 Solanda Street Intramuros 1000, Manila","786-868-477","40-2511815-0","341-911411-254","876-809-437-000","416-946776-041","Regular","Chief Marketing Officer","Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000","357.14","Admin","Reyes"
"1005","Hernandez","Eduard","09/23/1989","National Highway, Gingoog,  Misamis Occidental","088-861-012","50-5577638-1","957-436191-812","031-702-374-000","952-347222-457","Regular","IT Operations and Systems","Lim, Antonio","52,670","1,500","1,000","1,000","26,335","313.51","Admin","Hernandez"
"1006","Villanueva","Andrea Mae","02/14/1988","17/85 Stracke Via Suite 042, Poblacion, Las Pi�as 4783 Dinagat Islands ","918-621-603","49-1632020-8","382-189453-145","317-674-022-000","441-093369-646","Regular","HR Manager","Lim, Antonio","52,670","1,500","1,000","1,000","26,335","313.51","Admin","Villanueva"
"1007","San Jose","Brad ","03/15/1996","99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi","797-009-261","40-2400714-1","239-192926-939","672-474-690-000","210-850209-964","Regular","HR Team Leader","Villanueva, Andrea Mae","42,975","1,500","800","800","21,488","255.8","Admin","San Jose"
"1008","Romualdez","Alice","05/14/1992","12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ","983-606-799","55-4476527-2","545-652640-232","888-572-294-000","211-385556-888","Regular","HR Rank and File","San, Jose Brad","22,500","1,500","500","500","11,250","133.93","Employee","Romualdez"
"1009","Atienza","Rosie ","09/24/1948","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte","266-036-427","41-0644692-3","708-988234-853","604-997-793-000","260-107732-354","Regular","HR Rank and File","San, Jose Brad","22,500","1,500","500","500","11,250","133.93","Employee","Atienza"
"1010","Alvaro","Roderick","03/30/1988","#284 T. Morato corner, Scout Rallos Street, Quezon City","053-381-386","64-7605054-4","578-114853-194","525-420-419-000","799-254095-212","Regular","Accounting Head","Aquino, Bianca Sofia ","52,670","1,500","1,000","1,000","26,335","313.51","Admin","Alvaro"
"1011","Salcedo","Anthony","09/14/1993","93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate","070-766-300","26-9647608-3","126-445315-651","210-805-911-000","218-002473-454","Regular","Payroll Manager","Alvaro, Roderick","50,825","1,500","1,000","1,000","25,413","302.53","Admin","Salcedo"
"1012","Lopez","Josie ","01/14/1987","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro","478-355-427","44-8563448-3","431-709011-012","218-489-737-000","113-071293-354","Regular","Payroll Team Leader","Salcedo, Anthony","38,475","1,500","800","800","19,238","229.02","Admin","Lopez"
"1013","Farala","Martha","01/11/1942","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ","329-034-366","45-5656375-0","233-693897-247","210-835-851-000","631-130283-546","Regular","Payroll Rank and File","Salcedo, Anthony","24,000","1,500","500","500","12,000","142.86","Employee","Farala"
"1014","Martinez","Leila","07/11/1970","37/46 Kulas Roads, Maragondon 0962 Quirino ","877-110-749","27-2090996-4","515-741057-496","275-792-513-000","101-205445-8886","Regular","Payroll Rank and File","Salcedo, Anthony","24,000","1,500","500","500","12,000","142.86","Employee","Martinez"
"1015","Romualdez","Fredrick ","03/10/1985","22A/52 Lubowitz Meadows, Pililla 4895 Zambales","023-079-009","26-8768374-1","308-366860-059","598-065-761-000","223-057707-853","Regular","Account Manager","Lim, Antonio","53,500","1,500","1,000","1,000","26,750","318.45","Admin","Romualdez"
"1016","Mata","Christian","10/21/1987","90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ","783-776-744","49-2959312-6","824-187961-962","103-100-522-000","631-052853-464","Regular","Account Team Leader","Romualdez, Fredrick ","42,975","1,500","800","800","21,488","255.8","Admin","Mata"
"1017","De Leon","Selena ","02/20/1975","89A Armstrong Trace, Compostela 7874 Maguindanao","975-432-139","27-2090208-8","587-272469-938","482-259-498-000","719-007608-464","Regular","Account Team Leader","Romualdez, Fredrick ","41,850","1,500","800","800","20,925","249.11","Admin","De Leon"
"1018","San Jose","Allison ","06/24/1986","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union","179-075-129","45-3251383-0","745-148459-521","121-203-336-000","114-901859-343","Regular","Account Rank and File","Mata, Christian","22,500","1,500","500","500","11,250","133.93","Employee","San Jose"
"1019","Rosario","Cydney ","10/06/1996","93A/21 Berge Points, Tapaz 2180 Quezon","868-819-912","49-1629900-2","579-253435-499","122-244-511-000","265-104358-643","Regular","Account Rank and File","Mata, Christian","22,500","1,500","500","500","11,250","133.93","Employee","Rosario"
"1020","Bautista","Mark ","02/12/1991","65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino","683-725-348","49-1647342-5","399-665157-135","273-970-941-000","260-054585-575","Regular","Account Rank and File","Mata, Christian","23,250","1,500","500","500","11,625","138.39","Employee","Bautista"
"1021","Lazaro","Darlene ","11/25/1985","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino","740-721-558","45-5617168-2","606-386917-510","354-650-951-000","104-907708-845","Regular","Account Rank and File","Mata, Christian","23,250","1,500","500","500","11,625","138.39","Employee","Lazaro"
